abandon	v.	放弃	abandon the plan
ability	n.	能力	ability to learn
able	adj.	能够的	be able to do
abroad	adv.	在国外	study abroad
absence	n.	缺席	in the absence of
absent	adj.	缺席的	be absent from
absolute	adj.	绝对的	absolute truth
absorb	v.	吸收	absorb knowledge
abstract	adj.	抽象的	abstract idea
abundant	adj.	丰富的	abundant resources
abuse	v./n.	滥用	abuse of power
academic	adj.	学术的	academic research
accept	v.	接受	accept the offer
access	n./v.	接近/通道	have access to
accident	n.	事故	by accident
accompany	v.	陪伴	accompany sb.
accomplish	v.	完成	accomplish a goal
account	n.	账户/说明	take into account
accurate	adj.	准确的	accurate data
accuse	v.	指控	accuse sb. of
achieve	v.	实现	achieve success
achievement	n.	成就	great achievement
acknowledge	v.	承认	acknowledge the truth
acquire	v.	获得	acquire skills
act	v./n.	行动/法案	act quickly
action	n.	行动	take action
active	adj.	积极的	active member
activity	n.	活动	outdoor activity
actual	adj.	实际的	actual situation
adapt	v.	适应	adapt to change
add	v.	增加	add up
addition	n.	增加	in addition
additional	adj.	额外的	additional cost
address	n./v.	地址/演讲	home address
adequate	adj.	足够的	adequate supply
adjust	v.	调整	adjust to
administration	n.	管理	public administration
admire	v.	钦佩	admire courage
admit	v.	承认/录取	admit defeat
adopt	v.	采纳/收养	adopt a method
adult	n.	成年人	adult education
advance	v./n.	前进/进步	in advance
advanced	adj.	先进的	advanced technology
advantage	n.	优势	take advantage of
adventure	n.	冒险	adventure story
advertise	v.	做广告	advertise products
advice	n.	建议	a piece of advice
advise	v.	建议	advise sb. to do
affair	n.	事务	public affair
affect	v.	影响	affect the result
afford	v.	负担得起	cannot afford
afraid	adj.	害怕的	be afraid of
after	prep.	在…之后	after class
afternoon	n.	下午	good afternoon
again	adv.	再次	again and again
against	prep.	反对/靠着	against the law
age	n.	年龄	at the age of
agency	n.	机构	travel agency
agent	n.	代理人	insurance agent
ago	adv.	以前	years ago
agree	v.	同意	agree with
agreement	n.	协议	reach agreement
agriculture	n.	农业	modern agriculture
ahead	adv.	在前	ahead of time
aid	n./v.	帮助	first aid
aim	n./v.	目标/瞄准	aim at
air	n.	空气	fresh air
aircraft	n.	飞机	military aircraft
airline	n.	航空公司	international airline
airport	n.	机场	at the airport
alarm	n.	警报	fire alarm
alcohol	n.	酒精	alcohol abuse
alert	adj.	警觉的	stay alert
alike	adj.	相似的	look alike
alive	adj.	活着的	stay alive
all	pron.	全部	all of us
allow	v.	允许	allow sb. to do
almost	adv.	几乎	almost done
alone	adj.	独自的	leave alone
along	prep.	沿着	along the road
already	adv.	已经	already finished
also	adv.	也	also important
alter	v.	改变	alter the plan
alternative	n.	选择	alternative method
although	conj.	虽然	although tired
altogether	adv.	总共	altogether 30
always	adv.	总是	always ready
amaze	v.	使惊讶	amaze the audience
ambition	n.	雄心	career ambition
among	prep.	在…之中	among students
amount	n.	数量	a large amount
analysis	n.	分析	data analysis
analyze	v.	分析	analyze data
ancient	adj.	古代的	ancient history
anger	n.	愤怒	in anger
angle	n.	角度	from another angle
animal	n.	动物	wild animal
announce	v.	宣布	announce news
annual	adj.	每年的	annual report
another	pron.	另一个	another chance
answer	n./v.	回答	answer the question
anxiety	n.	焦虑	social anxiety
anxious	adj.	焦虑的	be anxious about
any	adj./pron.	任何	any time
anybody	pron.	任何人	anybody else
anyone	pron.	任何人	anyone can
anything	pron.	任何事	anything else
anyway	adv.	无论如何	anyway let's go
anywhere	adv.	任何地方	go anywhere
apart	adv.	分开	apart from
apartment	n.	公寓	rent an apartment
apologize	v.	道歉	apologize to sb.
apparent	adj.	明显的	it is apparent
appeal	n./v.	吸引力	appeal to
appear	v.	出现	appear to be
appearance	n.	外表	outward appearance
application	n.	申请	job application
apply	v.	申请/应用	apply for
appoint	v.	任命	appoint a leader
appointment	n.	约会	make an appointment
appreciate	v.	感激/欣赏	appreciate help
approach	n./v.	方法/接近	new approach
appropriate	adj.	适当的	appropriate behavior
approval	n.	批准	gain approval
approve	v.	批准	approve the plan
approximate	adj.	大约的	approximate number
architect	n.	建筑师	famous architect
architecture	n.	建筑	modern architecture
area	n.	区域	rural area
argue	v.	争论	argue with
argument	n.	论点	strong argument
arise	v.	出现	problems arise
arm	n.	手臂/武器	arm in arm
army	n.	军队	join the army
around	prep.	围绕	around the world
arrange	v.	安排	arrange a meeting
arrangement	n.	安排	make arrangements
arrest	v./n.	逮捕	under arrest
arrival	n.	到达	on arrival
arrive	v.	到达	arrive at
art	n.	艺术	work of art
article	n.	文章	newspaper article
artist	n.	艺术家	famous artist
ashamed	adj.	羞愧的	be ashamed of
aside	adv.	在旁边	step aside
ask	v.	问	ask for help
asleep	adj.	睡着的	fall asleep
